event,field,star_no,ra_j2000,ra_deg,dec_j2000,dec_deg,tmax_hjd,tmax_ut,tau,umin,amax,dmag,fbl,ibl,i0
2023-BLG-0430,BLG501.19,131657,17:53:16.70,268.31958333,-29:45:34.9,-29.75969444,2460067.722,2023-05-03.22,11.788,0.151,6.672,0.529,0.111,18.388,20.778
2023-BLG-0431,BLG504.23,95652,17:56:04.81,269.02004167,-27:55:54.9,-27.93191667,2460068.0,2023-05-03.50,6.428,0.044,22.640,2.500,0.416,19.865,20.818
2023-BLG-0432,BLG509.30,26389,17:57:06.00,269.275,-33:36:05.6,-33.60155556,2460072.436,2023-05-07.94,48.38,0.051,19.657,0.985,0.079,17.997,20.75
2023-BLG-0433,BLG512.11,9370,18:03:59.78,270.99908333,-28:50:56.8,-28.84911111,2460073.06,2023-05-08.56,15.695,1.194,1.232,0.226,1.0,18.499,18.499
2023-BLG-0434,BLG513.13,52401,18:02:31.51,270.63129167,-30:00:31.2,-30.00866667,2460061.624,2023-04-27.12,8.584,0.918,1.407,0.371,1.0,18.2,18.2
2023-BLG-0435,BLG612.21,94348,17:29:49.04,262.45433333,-27:47:58.7,-27.79963889,2460064.618,2023-04-30.12,22.943,0.107,9.345,2.090,0.702,20.058,20.443
2023-BLG-0436,BLG613.19,24663,17:31:38.98,262.91241667,-28:56:41.5,-28.94486111,2460067.079,2023-05-02.58,10.361,0.7,1.679,0.562,1.0,17.818,17.818
2023-BLG-0437,BLG614.02,19083,17:26:04.76,261.51983333,-29:08:37.1,-29.14363889,2460068.092,2023-05-03.59,36.153,0.129,7.780,1.286,0.335,19.305,20.494
2023-BLG-0438,BLG653.11,36653,17:36:16.62,264.06925,-28:49:55.8,-28.83216667,2460076.93,2023-05-12.43,67.044,0.197,5.151,0.254,0.063,17.286,20.282
2023-BLG-0439,BLG930.30,9528,17:25:00.96,261.254,-39:19:40.9,-39.32802778,2460061.836,2023-04-27.34,15.34,0.336,3.102,1.229,1.0,19.576,19.576
2023-BLG-0440,BLG965.08,58494,17:32:40.72,263.16966667,-21:37:20.6,-21.62238889,2460075.808,2023-05-11.31,33.656,0.792,1.542,0.470,1.0,18.161,18.161
2023-BLG-0441,BLG972.08,43798,17:23:01.22,260.75508333,-26:40:17.0,-26.67138889,2460072.906,2023-05-08.41,34.646,1.755,1.088,0.091,1.0,16.361,16.361
2023-BLG-0442,BLG500.18,72455,17:54:09.77,268.54070833,-28:26:36.5,-28.44347222,2460093.505,2023-05-29.00,13.919,0.319,3.250,1.191,0.887,16.41,16.54
2023-BLG-0443,BLG504.07,13399,17:55:37.88,268.90783333,-28:30:26.7,-28.50741667,2460075.31,2023-05-10.81,17.418,0.9,1.424,0.384,1.0,19.088,19.088
2023-BLG-0444,BLG504.14,206688,17:56:27.04,269.11266667,-28:08:42.3,-28.14508333,2460082.842,2023-05-18.34,23.861,0.273,3.766,1.440,1.0,19.403,19.403
2023-BLG-0445,BLG504.15,134205,17:55:07.93,268.78304167,-28:11:22.8,-28.18966667,2460097.206,2023-06-01.71,17.127,0.685,1.705,0.579,1.0,16.507,16.507
2023-BLG-0446,BLG505.10,64667,17:59:03.18,269.76325,-29:25:06.6,-29.4185,2460067.966,2023-05-03.47,1.991,1.69,1.097,0.101,1.0,17.297,17.297
2023-BLG-0447,BLG505.27,116076,17:58:58.52,269.74383333,-28:52:17.2,-28.87144444,2460065.047,2023-04-30.55,7.589,2.031,1.058,0.061,1.0,16.182,16.182
2023-BLG-0448,BLG590.03,45450,18:40:15.30,280.06375,-13:37:57.2,-13.63255556,2460061.243,2023-04-26.74,24.077,0.222,4.594,1.655,1.0,20.385,20.385
2023-BLG-0449,BLG603.13,183719,17:44:41.26,266.17191667,-34:20:34.8,-34.343,2460069.247,2023-05-04.75,25.266,0.343,3.046,1.209,1.0,19.841,19.841
2023-BLG-0450,BLG501.04,137904,17:51:49.55,267.95645833,-30:14:03.3,-30.23425,2460068.919,2023-05-04.42,0.814,0.117,8.613,2.338,1.0,20.26,20.26
